,0,1,2,3,4,5,6,7,8,9,10,11,Class
0,2,2,2,2,2,2,2,2,2,2,2,2,0
1,27,37,53,74,99,127,316,796,1255,1348,956,967,0
2,27,37,53,74,99,127,316,796,1255,1348,956,967,0
3,27,37,53,74,99,127,316,796,1255,1348,956,967,0
4,27,37,53,74,99,127,316,796,1255,1348,956,967,0
5,27,37,53,74,99,127,316,796,1255,1348,956,967,0
6,40,54,72,92,116,163,457,935,1313,1331,956,967,1
7,54,70,86,108,127,229,588,1028,1339,1323,954,967,1
8,34,46,66,84,110,141,397,871,1285,1342,957,967,1
9,27,37,53,74,99,127,316,796,1255,1348,956,967,0
10,54,70,86,108,127,228,587,1023,1334,1316,948,967,1
11,52,66,81,103,126,210,542,1010,1338,1330,956,967,1
12,27,35,53,74,99,126,313,790,1249,1343,955,967,1
13,27,37,53,74,99,127,316,796,1255,1348,956,967,0
14,27,37,53,74,99,127,316,796,1255,1348,956,967,0
15,27,37,53,74,99,127,316,796,1255,1348,956,967,0
16,27,37,53,74,99,127,316,796,1255,1348,956,967,0
17,27,37,53,74,99,127,316,796,1255,1348,956,967,0
18,53,70,86,109,127,229,580,1028,1344,1325,955,967,1
19,54,71,86,109,127,242,608,1042,1346,1328,956,967,1
20,16,21,31,44,68,97,151,499,993,1134,808,967,1
21,27,37,53,74,99,127,316,796,1255,1348,956,967,0
22,54,70,86,109,127,231,593,1035,1345,1327,956,967,1
23,16,21,31,44,68,97,151,498,993,1135,808,967,1
24,54,70,86,109,127,229,592,1035,1345,1327,956,967,1
25,27,37,53,74,99,127,316,796,1255,1348,956,967,0
26,27,37,53,74,99,127,316,796,1255,1348,956,967,0
27,27,37,53,74,99,127,316,796,1255,1348,956,967,0
28,27,37,53,74,99,127,316,796,1255,1348,956,967,0
29,27,37,53,74,99,127,316,796,1255,1348,956,967,0
30,54,70,86,108,127,228,587,1028,1341,1324,955,967,1
31,39,54,71,91,116,162,452,925,1311,1329,955,967,1
32,53,69,85,107,126,225,570,1020,1337,1326,955,967,1
33,27,37,53,74,99,127,316,796,1255,1348,956,967,0
34,34,47,66,85,110,141,401,874,1289,1338,956,967,1
35,45,61,78,102,122,190,510,984,1324,1329,955,967,1
36,18,32,37,62,85,117,227,684,1208,1331,952,967,1
37,27,37,53,74,99,127,316,796,1255,1348,956,967,0
38,27,37,53,74,99,127,316,796,1255,1348,956,967,0
39,27,37,53,74,99,127,316,796,1255,1348,956,967,0
40,27,37,53,74,99,127,316,796,1255,1348,956,967,0
41,27,37,53,74,99,127,316,796,1255,1348,956,967,0
42,54,71,86,109,127,242,608,1043,1346,1328,956,967,1
43,39,54,71,91,116,162,453,927,1311,1332,956,967,1
44,18,32,39,62,85,118,229,690,1217,1341,956,967,1
45,27,37,53,74,99,127,316,796,1255,1348,956,967,0
46,35,47,66,85,110,142,402,876,1291,1340,956,967,1
47,35,47,66,85,110,142,401,875,1290,1341,956,967,1
48,52,66,81,104,126,209,543,1011,1339,1332,956,967,1
49,27,37,53,74,99,127,316,796,1255,1348,956,967,0
50,27,37,53,74,99,127,316,796,1255,1348,956,967,0
51,27,37,53,74,99,127,316,796,1255,1348,956,967,0
52,27,37,53,74,99,127,316,796,1255,1348,956,967,0
53,27,37,53,74,99,127,316,796,1255,1348,956,967,0
54,52,70,85,108,126,241,604,1038,1343,1325,953,967,1
55,15,22,31,50,75,107,174,606,1156,1320,953,967,1
56,42,59,76,100,119,188,510,986,1327,1328,953,967,1
57,27,37,53,74,99,127,316,796,1255,1348,956,967,0
58,51,68,83,106,124,238,599,1032,1340,1322,952,967,1
59,15,22,31,50,75,107,174,606,1156,1320,953,967,1
60,42,60,75,99,118,189,511,984,1325,1322,952,967,1
61,27,37,53,74,99,127,316,796,1255,1348,956,967,0
62,27,37,53,74,99,127,316,796,1255,1348,956,967,0
63,27,37,53,74,99,127,316,796,1255,1348,956,967,0
64,27,37,53,74,99,127,316,796,1255,1348,956,967,0
65,27,37,53,74,99,127,316,796,1255,1348,956,967,0
66,54,70,86,109,127,229,592,1034,1345,1328,956,967,1
67,16,20,33,46,73,106,164,557,1136,1313,955,967,1
68,54,70,86,109,127,229,592,1035,1344,1327,955,967,1
69,27,37,53,74,99,127,316,796,1255,1348,956,967,0
70,39,54,71,91,116,162,453,928,1313,1332,956,967,1
71,46,62,78,102,122,191,512,988,1329,1331,955,967,1
72,35,47,66,85,110,142,402,875,1291,1341,956,967,1
73,27,37,53,74,99,127,316,796,1255,1348,956,967,0
74,27,37,53,74,99,127,316,796,1255,1348,956,967,0
75,27,37,53,74,99,127,316,796,1255,1348,956,967,0
76,27,37,53,74,99,127,316,796,1255,1348,956,967,0
77,27,37,53,74,99,127,316,796,1255,1348,956,967,0
78,46,63,78,102,122,191,512,988,1329,1331,955,967,1
79,35,47,66,85,110,142,402,876,1291,1341,956,967,1
80,39,54,71,91,116,162,453,928,1313,1332,956,967,1
