,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,Class
0,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4594,4594,4594,4594,4594,4594,4594,4594,4594,4594,4594,4609,4609,4609,4609,4609,4609,4609,4609,4609,4609,4609,4609,0
1,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
2,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
3,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
4,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
5,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
6,965,952,937,917,896,895,1052,1304,1406,1373,806,817,966,953,938,918,897,895,1052,1304,1406,1373,806,817,967,954,939,918,897,895,1052,1304,1406,1373,806,817,967,954,939,918,897,895,1052,1304,1406,1373,806,817,967,954,939,918,897,895,1052,1304,1406,1373,806,817,967,954,939,918,897,895,1052,1304,1406,1373,806,817,967,954,939,918,897,895,1052,1304,1406,1373,806,817,967,954,939,918,897,895,1052,1304,1406,1373,806,817,967,954,939,918,897,895,1052,1304,1406,1373,806,817,967,954,939,918,897,895,1052,1304,1406,1373,806,817,967,954,939,918,897,895,1052,1304,1406,1373,806,817,4536,4519,4499,4469,4434,4377,4098,3315,2401,1999,822,833,4552,4535,4515,4485,4450,4393,4114,3331,2417,2015,838,839,1
7,928,913,898,876,866,903,1103,1300,1397,1336,801,814,937,922,907,885,875,908,1107,1304,1400,1339,802,815,938,923,907,885,875,908,1107,1304,1400,1339,802,815,938,923,907,885,875,908,1107,1304,1400,1339,802,815,938,923,907,885,875,908,1107,1304,1400,1339,802,815,938,923,907,885,875,908,1107,1304,1400,1339,802,815,938,923,907,885,875,908,1107,1304,1400,1339,802,815,938,923,907,885,875,908,1107,1304,1400,1339,802,815,938,923,907,885,875,908,1107,1304,1400,1339,802,815,938,923,907,885,875,908,1107,1304,1400,1339,802,815,938,923,907,885,875,908,1107,1304,1400,1339,802,815,4502,4481,4459,4427,4395,4314,3854,3090,2238,1850,818,831,4537,4516,4494,4462,4430,4349,3889,3125,2273,1885,853,839,1
8,976,958,939,925,902,891,1018,1273,1394,1393,807,817,977,959,940,926,903,891,1018,1273,1394,1393,807,817,978,960,941,926,903,891,1018,1273,1394,1393,807,817,978,960,941,926,903,891,1018,1273,1394,1393,807,817,978,960,941,926,903,891,1018,1273,1394,1393,807,817,978,960,941,926,903,891,1018,1273,1394,1393,807,817,978,960,941,926,903,891,1018,1273,1394,1393,807,817,978,960,941,926,903,891,1018,1273,1394,1393,807,817,978,960,941,926,903,891,1018,1273,1394,1393,807,817,978,960,941,926,903,891,1018,1273,1394,1393,807,817,978,960,941,926,903,891,1018,1273,1394,1393,807,817,4548,4525,4501,4479,4444,4402,4160,3447,2470,2054,823,833,4565,4542,4518,4496,4461,4419,4177,3464,2487,2071,840,839,1
9,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
10,938,923,908,886,876,915,1113,1307,1403,1338,800,819,947,932,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,948,933,917,895,885,920,1117,1311,1406,1341,801,820,4494,4473,4451,4419,4387,4308,3851,3088,2243,1856,819,838,4537,4516,4494,4462,4430,4351,3894,3131,2286,1899,861,839,1
11,953,938,924,903,893,915,1097,1328,1411,1358,805,816,955,940,926,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,956,941,927,905,895,916,1098,1329,1412,1359,806,817,4522,4503,4483,4450,4423,4343,3964,3169,2289,1888,822,833,4537,4518,4498,4465,4438,4358,3979,3184,2304,1903,837,839,1
