,0,1,2,3,4,5,6,7,8,9,10,11,12,Class
0,1001,1016,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
1,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
2,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
3,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
4,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
5,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
6,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4593,4609,1
7,990,1000,1002,1002,1002,1002,1002,1002,1002,1002,1002,4574,4609,1
8,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4592,4609,1
9,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
10,1000,1010,1012,1012,1012,1012,1012,1012,1012,1012,1012,4566,4609,1
11,1014,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,1
12,1001,1002,1004,1004,1004,1004,1004,1004,1004,1004,1004,4575,4609,1
13,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
14,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
15,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
16,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
17,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
18,1004,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4585,4609,1
19,1001,1016,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,1
20,976,978,978,978,978,978,978,978,978,978,978,3773,4609,1
21,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
22,1001,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4593,4609,1
23,976,978,978,978,978,978,978,978,978,978,978,3778,4609,1
24,1001,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4593,4609,1
25,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
26,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
27,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
28,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
29,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
30,994,1005,1007,1007,1007,1007,1007,1007,1007,1007,1007,4579,4609,1
31,1010,1011,1013,1013,1013,1013,1013,1013,1013,1013,1013,4585,4609,1
32,995,1003,1005,1005,1005,1005,1005,1005,1005,1005,1005,4577,4609,1
33,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
34,1013,1014,1016,1016,1016,1016,1016,1016,1016,1016,1016,4591,4609,1
35,1004,1005,1007,1007,1007,1007,1007,1007,1007,1007,1007,4579,4609,1
36,997,999,999,999,999,999,999,999,999,999,999,4568,4609,1
